date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:41	1021161/1021161	---M--	200	added ('OK')	image/png	etag:%2270bb9b53853cfd5fb0a258e045fc5f72%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6115781f0fe211430194c39c_-fmoaCLc53sxUyxe1NoqmGU5wcmr1h558U894tVc8FV26GxpVXZKdxvHYhe0EMOdTO_LhXfOeAh9O0oeR7dNMXRAIgiMOtXCVZchHyzGq0HBa4NcI_z3xtRUTs0_1OuWG50Gvdt0.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6115781f0fe211430194c39c_-fmoaCLc53sxUyxe1NoqmGU5wcmr1h558U894tVc8FV26GxpVXZKdxvHYhe0EMOdTO_LhXfOeAh9O0oeR7dNMXRAIgiMOtXCVZchHyzGq0HBa4NcI_	(from https://gamercraft.com/blog-posts/the-psychology-of-league-staying-cool)
14:34:41	1700094/1700094	---M--	200	added ('OK')	image/png	etag:%22e0d8d22aa26ce81e148a7822c43f2e7d%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/611af2946d7e5a2190b51acc_iitsCBoSigUxAm6fslj8d6d3msCDNuntWhcljnRe4uMtYlykuB1gPDt_UIKQEMIZ5a83NPoREE0zAlNIU3L6vEStOmUBDr-TWQmglfiwemA_dKNl57xMgtBKv_Hjqyk46oG-zGu2.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/611af2946d7e5a2190b51acc_iitsCBoSigUxAm6fslj8d6d3msCDNuntWhcljnRe4uMtYlykuB1gPDt_UIKQEMIZ5a83NPoREE0zAlNIU3L6vEStOmUBDr-TWQmglfiwemA_dKNl57	(from https://gamercraft.com/blog-posts/how-to-out-of-game-improvement)
14:34:41	1123721/1123721	---M--	200	added ('OK')	image/png	etag:%22e28b9dc30902aebe2ceecb22d39acfc4%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6111ad43e9d2e74d17a9a9c6_YgTtKtBwlrfRqllQyBj2WFHRW9QRYtoyM01UM9gkgVdwzpF6X25tmp-QG26pejY-Kk4PPKuhha3I08chZhHxgrGPW5NmCsHt7HkSnB7HwNhC-H4fc6saszr_GGytFLBZVyItnCYc.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6111ad43e9d2e74d17a9a9c6_YgTtKtBwlrfRqllQyBj2WFHRW9QRYtoyM01UM9gkgVdwzpF6X25tmp-QG26pejY-Kk4PPKuhha3I08chZhHxgrGPW5NmCsHt7HkSnB7HwNhC-H4fc6	(from https://gamercraft.com/blog-posts/strategy-of-the-week-level-2-power-spike)
14:34:47	301092/301092	---M--	200	added ('OK')	image/png	etag:%225469cdb22a3952e378005d0ebe3185b9%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/610c66f492065ed2cee78c93_LOLl_GlOEW0Z6yztuTB8k8_mZfMPPZaFK9ebw1tQDB-9cyZzHtRPtNidc26Vhtg6QUKfyh1Ncj0AZ5VZgRPCVBVa8ws8ImOZTddLSUwswLwSTVJ8mY3gOyMvmAvGbhcXBz1y1wcn.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/610c66f492065ed2cee78c93_LOLl_GlOEW0Z6yztuTB8k8_mZfMPPZaFK9ebw1tQDB-9cyZzHtRPtNidc26Vhtg6QUKfyh1Ncj0AZ5VZgRPCVBVa8ws8ImOZTddLSUwswLwSTVJ8mY	(from https://gamercraft.com/blog-posts/pro-play-by-play-g2-vs-xl)
14:34:47	974748/974748	---M--	200	added ('OK')	image/png	etag:%225eea9f4937a0085d2a5b3682a5a24f44%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/610c66f5d5f573af2b61f651_dw3f2iIuXcWDsyiMkRFtPLZUFA63viNp9HBQWE_tHU2fCXMuAuGrVHpsXCHL9vbxeQo0vlrELXzzL0zH31iOq8aQs3sYGVbez_C3DfDJf527JdbtQ4ZTNfaOfn8af5MUiJQJ6ElF.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/610c66f5d5f573af2b61f651_dw3f2iIuXcWDsyiMkRFtPLZUFA63viNp9HBQWE_tHU2fCXMuAuGrVHpsXCHL9vbxeQo0vlrELXzzL0zH31iOq8aQs3sYGVbez_C3DfDJf527JdbtQ4	(from https://gamercraft.com/blog-posts/pro-play-by-play-g2-vs-xl)
14:34:47	2118887/2118887	---M--	200	added ('OK')	image/png	etag:%2229c72f10d18a9ac96d3b78ea476881a4%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6111ad445fdacc489716b2d7_zeQXo7AHoLJuC6nWDOuhenSsMc11Wx-KuErno_-eQYFJ5jONhU4sTVeCnmjwxJxexV_Uv9jpSeBFQTIpkvvrQzrXPQ6CCecE9e2kMJW8v7X6-fzDaCO1XEAoKv8CS7hJ1ZDq2yY1.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6111ad445fdacc489716b2d7_zeQXo7AHoLJuC6nWDOuhenSsMc11Wx-KuErno_-eQYFJ5jONhU4sTVeCnmjwxJxexV_Uv9jpSeBFQTIpkvvrQzrXPQ6CCecE9e2kMJW8v7X6-fzDaC	(from https://gamercraft.com/blog-posts/strategy-of-the-week-level-2-power-spike)
14:34:47	3035372/3035372	---M--	200	added ('OK')	image/gif	etag:%2250aaeccdf48316ca5f904fce24686a83%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f60ad1655f5e41fa3cfc08_1.gif	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f60ad1655f5e41fa3cfc08_1.gif	(from https://gamercraft.com/blog-posts/yuumi-champion-guide)
14:34:48	370346/370346	---M--	200	added ('OK')	image/png	etag:%22667a90c0c2c17989c87343a0319d8898%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6108672f118907be446cbc5a_wOb4Ed4qNd32it5urN-DtY9oJaIMmVKW7cZCWq2u52TqOfGNmPUh74snYBeMjRFDLsTQVk1qdyBWeJNdkRU-zb0TzZHEI8lodtMUwDURkiql1beiXRgJF1iKNphgCnTKXPu1ESgy.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6108672f118907be446cbc5a_wOb4Ed4qNd32it5urN-DtY9oJaIMmVKW7cZCWq2u52TqOfGNmPUh74snYBeMjRFDLsTQVk1qdyBWeJNdkRU-zb0TzZHEI8lodtMUwDURkiql1beiXR	(from https://gamercraft.com/blog-posts/how-to-voice-comms-for-competitive-league-of-legends-play)
14:34:48	1044030/1044030	---M--	200	added ('OK')	image/png	etag:%22e698b479b627ea8f2cddaed68119c46a%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/610c66f59b8b3b27627e944c_HNIhtkDG5CgLNbCUouJPPz523LTL9zySTtuhE5XIe9F1atYKDTrZDzhVTU6Uhlplijo9P7Bef0qrIEACasH-PEUZTdbrQ9X8w00QdTrRPZZtpD5VBS3fQwrSC65DMobJwzSrWPun.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/610c66f59b8b3b27627e944c_HNIhtkDG5CgLNbCUouJPPz523LTL9zySTtuhE5XIe9F1atYKDTrZDzhVTU6Uhlplijo9P7Bef0qrIEACasH-PEUZTdbrQ9X8w00QdTrRPZZtpD5VBS	(from https://gamercraft.com/blog-posts/pro-play-by-play-g2-vs-xl)
14:34:48	3348823/3348823	---M--	200	added ('OK')	image/gif	etag:%225fdf0bda7c25a7669b95b334f557e02f%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f60adcce7a881cf0b37093_2.gif	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f60adcce7a881cf0b37093_2.gif	(from https://gamercraft.com/blog-posts/yuumi-champion-guide)
